"CCMM","AMA"
0.0810694694519043,3.24459481239319
0.130512475967407,10.3764073848724
0.19251275062561,18.120677947998
0.20506739616394,26.0381138324738
0.297345161437988,40.3148858547211
0.331942319869995,54.5620901584625
0.339046716690063,64.9728693962097
0.413638591766357,84.1953225135803
0.454392433166504,108.543078184128
0.515272378921509,134.500509738922
0.576467990875244,163.109138011932
0.564398765563965,181.702346563339
0.662631988525391,220.167889356613
0.638835191726685,240.907190322876
0.685534238815308,276.297902107239
0.719595193862915,310.144361257553
0.825433969497681,361.553658723831
0.804311037063599,385.675897598267
0.853853464126587,434.782697916031
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
