"CCMM","SSNAL"
0.0666799545288086,3.748961
0.0930337905883789,7.37616800000001
0.139785528182983,10.199342
0.148435592651367,12.344111
0.221837997436523,16.547638
0.241806507110596,18.591817
0.245614051818848,21.512546
0.304114103317261,25.518332
0.33069896697998,28.933578
0.383715391159058,32.320149
0.430687189102173,35.399709
0.413406610488892,37.795165
0.4933180809021,42.367192
0.465238571166992,44.611738
0.504940032958984,48.587255
0.527110576629639,51.274193
0.612058401107788,55.042633
0.819364786148071,57.189848
0.620641469955444,60.572654
0.729665756225586,65.154855
0.651733875274658,65.140046
0.740498304367065,69.762756
0.975176572799683,71.873406
0.820773363113403,75.076727
0.808488607406616,78.322758
0.859692811965942,80.061932
0.860994577407837,81.442361
0.954937696456909,86.457021
0.878377199172974,86.925949
1.0653612613678,92.353932
0.977875709533691,95.556681
1.01232361793518,98.362622
1.15822601318359,101.994234
0.977657556533813,103.268483
0.947098970413208,104.225964
1.05045509338379,109.326566
1.09399223327637,112.615599
1.17275929450989,116.774357
1.26255679130554,121.170682
1.25975465774536,120.759571
