"CCMM","AMA","SSNAL"
25328.8365129903,25328.8465127655,25328.8453413315
25328.8365129903,25328.8465128151,25328.8453118588
25328.8365129903,25328.8465127603,25328.845282391
25328.8365129903,25328.8465127903,25328.8452529294
25328.8365129903,25328.8465128437,25328.8452234752
25328.8365129903,25328.8465128099,25328.8451940295
25328.8365129903,25328.8465127525,25328.8451645936
25328.8365129903,25328.846512849,25328.8451351685
25328.8365129903,25328.8465127949,25328.8451057558
25328.8365129903,25328.8465128114,25328.8450763563
25328.8365129903,25328.846512828,25328.8450469711
25328.8365129903,25328.846512792,25328.8450176016
25328.8365129903,25328.8465128561,25328.8449882488
25328.8365129903,25328.84651279,25328.8449589138
25328.8365129903,25328.8465128043,25328.8449295975
25328.8365129903,25328.8465128309,25328.8449003012
25328.8365129903,25328.8465128028,25328.8448710259
25328.8365129903,25328.8465128387,25328.8448417723
25328.8365129903,25328.8465128037,25328.8448125417
25328.8365129903,25328.846512751,25328.8447833356
25328.8365129903,25328.8465128194,25328.8447541538
25328.8365129903,25328.8465128822,25328.8447249981
25328.8365129903,25328.8465127559,25328.8446958692
25328.8365129903,25328.8465128035,25328.8446667683
25328.8365129903,25328.8465128483,25328.8446376962
25328.8365129903,25328.8465128066,25328.8446086532
25328.8365129903,25328.8465128834,25328.8445796415
25328.8365129903,25328.8465127883,25328.8445506607
25328.8365129903,25328.8465127862,25328.8445217122
25328.8365129903,25328.8465127924,25328.8444927972
25328.8365129903,25328.8465128173,25328.8444639159
25328.8365129903,25328.8465128383,25328.8444350694
25328.8365129903,25328.8465128084,25328.8444062585
25328.8365129903,25328.8465127795,25328.8443774841
25328.8365129903,25328.8465128287,25328.8443487467
25328.8365129903,25328.8465127916,25328.8443200475
25328.8365129903,25328.8465127916,25328.8442913869
25328.8365129903,25328.8465127885,25328.844262766
25328.8365129903,25328.846512814,25328.8442341853
25328.8365129903,25328.8465128285,25328.8442056453
25328.8365129903,25328.8465127677,25328.844177147
25328.8365129903,25328.8465128055,25328.8441486913
25328.8365129903,25328.8465128538,25328.8441202786
25328.8365129903,25328.8465127982,25328.8440919097
25328.8365129903,25328.8465128741,25328.844063585
25328.8365129903,25328.8465128287,25328.8440353059
25328.8365129903,25328.8465128368,25328.8440070719
25328.8365129903,25328.8465127838,25328.8439788849
25328.8365129903,25328.8465127608,25328.8439507445
25328.8365129903,25328.8465128216,25328.8439226519
25328.8365129903,25328.8465128318,25328.8438946077
25328.8365129903,25328.846512822,25328.8438666119
25328.8365129903,25328.8465128046,25328.843838666
25328.8365129903,25328.8465128009,25328.8438107699
25328.8365129903,25328.8465128204,25328.8437829244
25328.8365129903,25328.8465128243,25328.8437551298
25328.8365129903,25328.846512821,25328.8437273871
25328.8365129903,25328.846512836,25328.8436996965
25328.8365129903,25328.8465128041,25328.8436720587
25328.8365129903,25328.8465128106,25328.8436444739
25328.8365129903,25328.8465128588,25328.8436169431
25328.8365129903,25328.8465128456,25328.8435894665
25328.8365129903,25328.8465127981,25328.8435620445
25328.8365129903,25328.8465128492,25328.8435346777
25328.8365129903,25328.8465128863,25328.843507367
25328.8365129903,25328.8465128249,25328.8434801121
25328.8365129903,25328.8465127746,25328.8434529139
25328.8365129903,25328.8465128122,25328.8434257726
25328.8365129903,25328.8465128064,25328.8433986888
25328.8365129903,25328.8465128152,25328.8433716629
25328.8365129903,25328.8465128491,25328.8433446955
25328.8365129903,25328.8465128068,25328.8433177868
25328.8365129903,25328.8465128213,25328.843290937
25328.8365129903,25328.8465128537,25328.843264147
25328.8365129903,25328.8465129049,25328.8432374168
25328.8365129903,25328.8465128068,25328.8432107468
25328.8365129903,25328.8465128848,25328.8431841378
25328.8365129903,25328.8465128417,25328.8431575896
25328.8365129903,25328.8465128058,25328.8431311028
25328.8365129903,25328.8465127818,25328.8431046777
25328.8365129903,25328.8465127543,25328.8430783148
25328.8365129903,25328.8465128772,25328.8430520143
25328.8365129903,25328.8465128136,25328.8430257765
25328.8365129903,25328.846512786,25328.8429996018
25328.8365129903,25328.8465128236,25328.8429734904
25328.8365129903,25328.846512821,25328.8429474428
25328.8365129903,25328.8465128794,25328.8429214589
25328.8365129903,25328.8465128239,25328.8428955394
25328.8365129903,25328.8465128032,25328.8428696846
25328.8365129903,25328.8465128123,25328.8428438947
25328.8365129903,25328.8465128278,25328.8428181696
25328.8365129903,25328.8465128259,25328.8427925099
25328.8365129903,25328.8465128185,25328.8427669159
25328.8365129903,25328.8465128421,25328.8427413876
25328.8365129903,25328.8465128684,25328.8427159254
25328.8365129903,25328.8465128167,25328.84269053
25328.8365129903,25328.8465128104,25328.842665201
25328.8365129903,25328.8465128787,25328.8426399387
25328.8365129903,25328.846512864,25328.8426147433
25328.8365129903,25328.8465128013,25328.8425896153
25328.8365129903,25328.8465128176,25328.842564555
25328.8365129903,25328.8465128632,25328.8425395621
25328.8365129903,25328.8465127886,25328.8425146372
25328.8365129903,25328.8465128667,25328.84248978
25328.8365129903,25328.8465128525,25328.8424649914
25328.8365129903,25328.8465128167,25328.8424402712
25328.8365129903,25328.8465128202,25328.8424156194
25328.8365129903,25328.846512815,25328.8423910363
25328.8365129903,25328.8465127955,25328.8423665221
25328.8365129903,25328.8465128249,25328.8423420774
25328.8365129903,25328.8465128345,25328.8423177016
25328.8365129903,25328.8465128472,25328.8422933953
25328.8365129903,25328.8465127655,25328.8422691585
25328.8365129903,25328.8465128367,25328.8422449912
25328.8365129903,25328.8465128276,25328.8422208938
25328.8365129903,25328.8465128726,25328.8421968663
25328.8365129903,25328.8465128272,25328.8421729092
25328.8365129903,25328.8465128137,25328.8421490218
25328.8365129903,25328.846512827,25328.8421252049
25328.8365129903,25328.8465128758,25328.8421014586
25328.8365129903,25328.8465128166,25328.8420777825
25328.8365129903,25328.846512835,25328.8420541771
25328.8365129903,25328.8465128071,25328.8420306425
25328.8365129903,25328.84651284,25328.8420071787
25328.8365129903,25328.8465128622,25328.8419837856
25328.8365129903,25328.8465128378,25328.8419604634
25328.8365129903,25328.8465127756,25328.8419372125
25328.8365129903,25328.8465128046,25328.8419140326
25328.8365129903,25328.8465128327,25328.841890924
25328.8365129903,25328.8465128327,25328.8418678865
25328.8365129903,25328.8465128192,25328.8418449203
25328.8365129903,25328.8465128026,25328.8418220257
25328.8365129903,25328.8465128413,25328.8417992023
25328.8365129903,25328.8465128533,25328.8417764508
25328.8365129903,25328.846512823,25328.8417537701
25328.8365129903,25328.84651282,25328.8417311615
25328.8365129903,25328.846512829,25328.8417086246
25328.8365129903,25328.8465128209,25328.841686159
25328.8365129903,25328.8465128754,25328.8416637652
25328.8365129903,25328.8465128544,25328.8416414432
25328.8365129903,25328.8465128161,25328.8416191927
25328.8365129903,25328.8465128229,25328.8415970143
25328.8365129903,25328.8465128368,25328.8415749076
25328.8365129903,25328.8465128149,25328.8415528726
25328.8365129903,25328.8465128437,25328.8415309093
25328.8365129903,25328.8465128683,25328.8415090179
25328.8365129903,25328.846512848,25328.8414871984
25328.8365129903,25328.8465128247,25328.8414654507
25328.8365129903,25328.8465128486,25328.8414437747
25328.8365129903,25328.8465128496,25328.8414221707
25328.8365129903,25328.84651285,25328.8414006385
25328.8365129903,25328.8465128162,25328.8413791777
25328.8365129903,25328.8465128205,25328.8413577891
25328.8365129903,25328.8465128225,25328.8413364721
25328.8365129903,25328.8465128537,25328.8413152269
25328.8365129903,25328.8465128182,25328.8412940533
25328.8365129903,25328.8465128137,25328.8412729516
25328.8365129903,25328.8465127964,25328.8412519212
25328.8365129903,25328.8465128792,25328.8412309626
25328.8365129903,25328.8465128473,25328.841210076
25328.8365129903,25328.8465128282,25328.8411892606
25328.8365129903,25328.8465127699,25328.8411685168
25328.8365129903,25328.8465128118,25328.8411478443
25328.8365129903,25328.8465128633,25328.8411272436
25328.8365129903,25328.8465128206,25328.841106714
25328.8365129903,25328.846512814,25328.8410862559
25328.8365129903,25328.8465128214,25328.841065869
25328.8365129903,25328.8465128694,25328.8410455534
25328.8365129903,25328.8465128382,25328.8410253088
25328.8365129903,25328.8465128787,25328.8410051355
